"Bond Rating","Cash","Earnings Before Interest","Gross Profit (Loss)","Retained Earnings","EBTI Margin (Revenue)","Dividends per Share - Pay Date - Calendar","Total Stockholders Equity","Total Market Value (Fiscal Years)","Total Revenue","Financing Activities - Net Cash Flow","Net Cash Flow","Debt to Equity Ratio","Return on Asset","Interest Coverage","Current Ratio","Return on Equity","Quick Ratio","Risk Rating"
"B+",994,6585,13139,-13121,0.154396249,0.2,2021,37405.5843,42650,-315,2765,8.013854527461653,0.1504420735189966,0.13895216400911162,0.07818736792674337,6.048490846115785,0.038898019879470926,"High Risk"
"A-",7.604,1228.6,1228.6,1857.924,0.351869842,2.2975,4519.102,7553.105,3491.632,-178.881,920.746,0.6707560484361716,0.08583485892929851,0.16356014976395897,0.0389740389932606,0.2274013731046566,0.0011243165237860072,"Low Risk"
"A+",4063,4475,12088,17821,0.221020398,0.88,21639,67891.7357,20247,-2742,933,0.15749341466796063,0.10841913991520291,0.0335195530726257,0.41323638156273107,0.5516890799020288,0.25036973132856793,"Low Risk"
"BB+",466.829,134.767,308.828,1759.236,0.204119745,0.6838,2045.311,2667.9542,660.235,-45.802,87.781,0,0.060959248624462406,0.020761759184370062,3.724350296144083,0.14962516702838835,2.8214009428260605,"High Risk"
"A",1420.4,4848.7,15091.5,9940.4,0.083593664,0.9,14551.8,31072.734,58003.2,-1235,2137.8,0.5395896040352397,0.0907960548367948,0.06791511126693753,0.04582186765080666,1.0144586923954426,0.04582186765080666,"Low Risk"
"A",336.6,2560.6,3761.3,8751.3,0.245291695,3.02,7521.4,27798.507,10439,-661.4,1525.7,0.6414364347063047,0.14402303828652743,0.06174334140435835,0.23280217644772638,0.4790597495147181,0.06541002720559659,"Low Risk"
"BBB-",107,1226,1733,1834,0.228390462,0.5,2127,7857.3046,5368,-462,568,0.3225199811941702,0.1983497815887397,0.03915171288743882,0.04899049881235154,0.7921955806299953,0.03176959619952494,"Medium Risk"
"BBB",2444,5486,6709,18642,0.510943467,1,22320,21100.3397,10737,-3835,629,0.26518817204301076,0.14220540204261498,0.07273058694859642,0.2873585453138601,0.28270609318996415,0.23638649772705292,"Medium Risk"
"A-",192.516,320.692,320.692,891.267,0.23931703,0.48,1245.126,17391.836259134452,1340.03,-175.883,61.761,0.47748741894394625,0.029864834737273232,0.10779813652975441,0.022501309215302426,0.22979361124898204,0.021634754777793013,"Low Risk"
"BB",22.971,114.072,181.062,85.615,0.254960204,0.72,251.337,867.8357,447.411,366.793,438.162,1.5549839458575538,0.12401084953606818,0.09359877971807279,0.08272174006986208,0.6779145131834948,0.08272174006986208,"High Risk"
"BBB",163,5216,5216,7303,0.306462985,2.03,16824,29716.4894,17020,-162,4451,0.9879933428435568,0.08746834806231449,0.1781058282208589,0.05682208729522282,0.2548145506419401,0.00622446251957078,"Medium Risk"
"BBB+",22288,9975,9975,7594,0.282738095,0.98,20673,95179.92,35280,11,11001,2.2191263967493833,0.06269523516212767,0.08040100250626567,0.24081076992890638,0.4437188603492478,0.24081076992890638,"Medium Risk"
"BBB+",377.615,1037.17,1499.807,3203.029,0.2578765,0.33,3239.561,12701.4611,4021.964,24.139,750.101,0.4407464468179485,0.16152873019202885,0.07706354792367692,0.498130110972981,0.43829364534268683,0.21533947695571348,"Medium Risk"
"A",3731,8956,17936,-4632,0.446393859,2.44,25778,121124.116,20063,-2877,5678,1.1721235161765846,0.12978017360054486,0.12159446181330952,0.4900122925629994,0.653541779812243,0.28664720344191763,"Low Risk"
"A-",569.233,965.515,1946.138,4062.97,0.337030194,1.48,4757.897,15441.9921,2864.773,-576.61,294.992,0.18344007867341391,0.14075198733470465,0.03602636934692884,0.7625386493083808,0.40172244165857307,0.4631676159479251,"Low Risk"
"BBB",501.149,1740.519,2299.133,3650.694,0.255800795,0.2,4918.789,3756.5158,6804.197,69.848,1851.759,0.8841320495756172,0.1465090486132003,0.11625727728338502,0.27991379211343304,0.4262807369862785,0.1918427892768414,"Medium Risk"
"A-",769,4884,5318,16133,0.355225835,0.95,28137,23595.5684,13749,-794,7667,0.39965170416177986,0.08728910494709752,0.1033988533988534,0.08913699456849729,0.17105590503607349,0.0464091732045866,"Low Risk"
"AA+",13844,60449,78483,88234,0.330692853,1.8457,111547,591015.7208,182795,-37549,22164,0.25986355527266536,0.26073697695383435,0.006352462406325994,0.1747439899238815,0.7001443337785866,0.1516236788784842,"Low Risk"
"A-",3002,1973,4194,12996,0.217482363,0.4,7868,26971.89,9072,-348,1452,0.2474580579562786,0.14976468802186124,0.0481500253421186,1.3602262578148259,0.5209710218607015,0.8937183685620721,"Low Risk"
"BB+",109.012,250.748,582.341,1281.194,0.179123371,0.04,1001.711,2235.7931,1399.862,-380.992,-255.758,0.3848415361316787,0.1350373395358556,0.10386922328393448,0.5783464986054038,0.5553458033305015,0.2321033917431388,"High Risk"
"A",1099,3836,5645,14460,0.047240798,0.96,19630,33124,81201,-3577,1385,0.2831380539989812,0.08712835305607923,0.09254431699687174,0.5559212272413611,0.2694854814060112,0.058336429746801845,"Low Risk"
"BBB-",400.355,1036.146,2995.895,4112.137,0.045507525,0,4158.911,5551.3616,22768.674,-434.886,238.415,0.49903760864322416,0.08327236126497004,0.11729717626666514,0.4406243708212464,0.6911323661410405,0.06448508413478962,"Medium Risk"
"BB",1393,574,1823,3582,0.093775527,1.36,3583,7287,6121,-1034,-391,0.8210996371755512,0.05241530453839832,0.30139372822299654,0.48757342973339357,0.4605079542283003,0.31473113420695886,"High Risk"
"A",595,1688,1688,2996,0.370663153,0.86,6280,5488.8472,4554,236,1917,1.160031847133758,0.09542653626547572,0.22097156398104265,0.17095053346265762,0.20939490445859874,0.14427740058195926,"Low Risk"
"BB",80.08,550.139,611.6,2289.698,0.468620975,0,2555.524,2811.9758,1173.953,462.905,905.525,0.6817083306593873,0.12205706034840039,0.13051792365202247,1.0136845118809046,0.21122752124417538,0.3820975283901135,"High Risk"
"AA",1983.6,2558.9,5321.3,13811.1,0.209634211,1.92,6670.2,38070.256,12206.5,-2358.2,-536.8,0.0017240862342958233,0.07983663893022835,0.0023838368048770954,0.07818683484430429,0.7968576654373182,0.07818683484430429,"Low Risk"
"B-",180.334,8.585,23.426,-129.413,0.029979746,0,286.74,321.589,286.36,185.114,103.705,1.0490793052939944,0.012834773040548017,2.1091438555620265,6.928783966556007,0.01854990583804139,2.217312184925612,"High Risk"
